concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";824012,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";56142,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1593,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";58181,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";114,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";10113,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";27140,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";23420,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";22040,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6947,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";381086,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";27868,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1441,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";44792,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";116,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";10993,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";29378,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";33239,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";11854,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10559,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";268527,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";23334,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";1189,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";40451,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";93,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";9706,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";26555,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";32009,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";6906,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";10709,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 1";"Passeio";207518,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";18811,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 3";"Passeio";1180,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";42555,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 5";"Passeio";114,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";10998,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 7";"Comercial";25488,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 8";"Comercial";34306,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 9";"Moto";3203,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"4 (São Gonçalo)";"N/I";"Outros";"Comercial";11685,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 1";"Passeio";189751,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 2";"Comercial";16388,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 3";"Passeio";1184,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 4";"Comercial";42545,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 5";"Passeio";106,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 6";"Comercial";10390,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 7";"Comercial";24608,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 8";"Comercial";36374,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 9";"Moto";2768,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Outros";"Comercial";11852,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 1";"Passeio";164498,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 2";"Comercial";15325,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 3";"Passeio";1030,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 4";"Comercial";36464,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 5";"Passeio";99,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 6";"Comercial";9292,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 7";"Comercial";22083,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 8";"Comercial";26058,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 9";"Moto";2792,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Outros";"Comercial";6978,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 1";"Passeio";167281,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 2";"Comercial";14899,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 3";"Passeio";975,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 4";"Comercial";35680,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 5";"Passeio";98,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 6";"Comercial";9581,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 7";"Comercial";21518,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 8";"Comercial";25445,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 9";"Moto";3736,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Outros";"Comercial";6689,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 1";"Passeio";192771,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 2";"Comercial";17352,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 3";"Passeio";1074,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 4";"Comercial";37570,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 5";"Passeio";129,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 6";"Comercial";9877,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 7";"Comercial";21818,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 8";"Comercial";25570,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 9";"Moto";3883,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"8 (Itatiaiuçu)";"N/I";"Outros";"Comercial";6635,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";730380,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";53079,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1576,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";57049,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";99,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";9751,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";25486,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";23807,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";21928,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";7911,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";312087,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";27863,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1198,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";45320,00
