concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";854929,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";59548,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1811,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";43004,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";183,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";22449,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";15289,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";15287,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";22740,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6892,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";406142,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";33537,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1348,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";35818,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";184,00
