concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";277638,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";24788,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";703,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";43233,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";61,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";7635,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";32268,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";14133,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";8873,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10692,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";201899,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";22473,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";612,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";41586,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";50,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";6882,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";30492,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";13330,00
