concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";900968,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";64605,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1950,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";40705,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";202,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";21230,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";14147,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";24286,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";25635,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";15943,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";435804,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";39547,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1689,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";36319,00
