concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";734719,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";52717,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1346,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";52327,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";68,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";8251,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";28113,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";20651,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";18608,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";8147,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";317357,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";26807,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1232,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";45533,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";104,00
