concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";855024,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";58406,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1752,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";41718,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";491,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";20265,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";14568,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";14398,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";21448,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6432,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";392485,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";31067,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1465,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";32851,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";221,00
