concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";772566,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";58588,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1389,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";60548,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";78,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";10663,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";30101,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";22183,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";18482,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6527,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";356574,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";28579,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1290,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";47323,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";92,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";13989,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";31618,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";31145,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";10612,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";9915,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";253417,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";23981,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";1095,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";42926,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";82,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";11767,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";29264,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";30131,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";5710,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";10729,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 1";"Passeio";194709,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";19414,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 3";"Passeio";1143,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";45202,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 5";"Passeio";97,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";12438,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 7";"Comercial";29210,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 8";"Comercial";32961,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 9";"Moto";2683,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Outros";"Comercial";11755,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 1";"Passeio";177721,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 2";"Comercial";17223,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 3";"Passeio";1147,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 4";"Comercial";44906,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 5";"Passeio";102,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 6";"Comercial";12490,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 7";"Comercial";27881,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 8";"Comercial";33851,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 9";"Moto";2249,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Outros";"Comercial";11395,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 1";"Passeio";152798,00
