concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";709852,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";49524,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1367,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";50362,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";98,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";8199,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";29520,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";18698,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";21147,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";8095,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";309083,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";24293,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1070,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";43131,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";72,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";8877,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";32229,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";23833,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";10475,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10775,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";217614,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";20963,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";885,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";40041,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";61,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";7661,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";29627,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";22611,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";6613,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";11437,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 1";"Passeio";167379,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";17028,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 3";"Passeio";869,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";42920,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 5";"Passeio";67,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";8466,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 7";"Comercial";30393,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 8";"Comercial";24859,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 9";"Moto";2981,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"4 (São Gonçalo)";"N/I";"Outros";"Comercial";11658,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 1";"Passeio";155043,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 2";"Comercial";15047,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 3";"Passeio";843,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 4";"Comercial";41530,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 5";"Passeio";70,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 6";"Comercial";8253,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 7";"Comercial";28828,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 8";"Comercial";24440,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 9";"Moto";2435,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Outros";"Comercial";11627,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 1";"Passeio";133078,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 2";"Comercial";13657,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 3";"Passeio";729,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 4";"Comercial";36043,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 5";"Passeio";72,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 6";"Comercial";7811,00
