concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";866535,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";56902,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1748,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";40829,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";490,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";19238,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";13940,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";13797,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";21495,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";5732,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";397918,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";31278,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1399,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";32873,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";191,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";22166,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";16526,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";21919,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";10348,00
