concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";873102,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";54961,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1585,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";53322,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";138,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";9307,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";23440,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";22480,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";22745,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6854,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";401723,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";26877,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1389,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";41391,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";182,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";10712,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";26153,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";33276,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";11261,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10321,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";286308,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";22442,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";1247,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";37836,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";164,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";9555,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";23593,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";32106,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";6456,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";10554,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 1";"Passeio";222684,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";17972,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 3";"Passeio";1351,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";39877,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 5";"Passeio";181,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";10645,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 7";"Comercial";22747,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 8";"Comercial";33990,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 9";"Moto";3097,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"4 (São Gonçalo)";"N/I";"Outros";"Comercial";11398,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 1";"Passeio";202557,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 2";"Comercial";15778,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 3";"Passeio";1314,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 4";"Comercial";39196,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 5";"Passeio";169,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 6";"Comercial";10046,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 7";"Comercial";21703,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 8";"Comercial";35830,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 9";"Moto";2696,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Outros";"Comercial";11051,00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 1";"Passeio";176837,00
